CO_PAIS;CO_PAIS_ISON3;iso_code;country;NO_PAIS_ING;continent;sub-region;intermediate-region
65;533;ABW;Aruba;Aruba;America Central e Caribe;Latin America and the Caribbean;Caribbean
13;4;AFG;Afeganistão;Afghanistan;Asia;Southern Asia;
40;24;AGO;Angola;Angola;Africa;Sub-Saharan Africa;Middle Africa
41;660;AIA;Anguilla;Anguilla;America Central e Caribe;Latin America and the Caribbean;Caribbean
15;248;ALA;Aland, Ilhas;Aland Islands;Europa;Northern Europe;
17;8;ALB;Albânia;Albania;Europa;Southern Europe;
37;20;AND;Andorra;Andorra;Europa;Southern Europe;
244;784;ARE;Emirados Árabes Unidos;United Arab Emirates;Asia;Western Asia;
63;32;ARG;Argentina;Argentina;America do Sul;Latin America and the Caribbean;South America
64;51;ARM;Armênia;Armenia;Asia;Western Asia;
691;16;ASM;Samoa Americana;Americana Samoa;Oceania;Polynesia;
42;10;ATA;Antártica;Antarctica;Antarctica;Antarctica;
781;898;ATF;Terras Austrais Francesas;French Southern Lands;Africa;Sub-Saharan Africa;Eastern Africa
43;28;ATG;Antígua e Barbuda;Antigua and Barbuda;America Central e Caribe;Latin America and the Caribbean;Caribbean
69;36;AUS;Austrália;Australia;Oceania;Australia and New Zealand;
72;40;AUT;Áustria;Austria;Europa;Western Europe;
73;31;AZE;Azerbaijão;Azerbaijan;Asia;Western Asia;
115;108;BDI;Burundi;Burundi;Africa;Sub-Saharan Africa;Eastern Africa
87;56;BEL;Bélgica;Belgium;Europa;Western Europe;
229;204;BEN;Benin;Benin;Africa;Sub-Saharan Africa;Western Africa
31;854;BFA;Burkina Faso;Burkina Faso;Africa;Sub-Saharan Africa;Western Africa
81;50;BGD;Bangladesh;Bangladesh;Asia;Southern Asia;
111;100;BGR;Bulgária;Bulgaria;Europa;Eastern Europe;
80;48;BHR;Barein;Bahrein;Asia;Western Asia;
77;44;BHS;Bahamas;Bahamas;America Central e Caribe;Latin America and the Caribbean;Caribbean
98;70;BIH;Bósnia-Herzegovina;Bosnia and Herzegovina;Europa;Southern Europe;
693;652;BLM;São Bartolomeu;Saint Barthelemy;America Central e Caribe;Latin America and the Caribbean;Caribbean
85;112;BLR;Belarus;Belarus;Europa;Eastern Europe;
88;84;BLZ;Belize;Belize;America Central e Caribe;Latin America and the Caribbean;Central America
90;60;BMU;Bermudas;Bermuda;America do Norte;Northern America;
97;68;BOL;Bolívia;Bolivia;America do Sul;Latin America and the Caribbean;South America
105;76;BRA;Brasil;Brazil;America do Sul;Latin America and the Caribbean;South America
83;52;BRB;Barbados;Barbados;America Central e Caribe;Latin America and the Caribbean;Caribbean
108;96;BRN;Brunei;Brunei;Asia;South-eastern Asia;
119;64;BTN;Butão;Bhutan;Asia;Southern Asia;
102;74;BVT;Bouvet, Ilha;Bouvet Island;America do Sul;Latin America and the Caribbean;South America
101;72;BWA;Botsuana;Botswana;Africa;Sub-Saharan Africa;Southern Africa
640;140;CAF;República Centro-Africana;Central African Republic;Africa;Sub-Saharan Africa;Middle Africa
149;124;CAN;Canadá;Canada;America do Norte;Northern America;
165;166;CCK;Cocos (Keeling), Ilhas;Cocos (Keeling) Islands;Oceania;Australia and New Zealand;
767;756;CHE;Suíça;Switzerland;Africa;Africa;Sub-Saharan Africa
158;152;CHL;Chile;Chile;Europa;Western Europe;
160;156;CHN;China;China;America do Sul;Latin America and the Caribbean;South America
193;384;CIV;Costa do Marfim;Cote D'Ivore;Asia;Eastern Asia;
145;120;CMR;Camarões;Cameroon;Africa;Sub-Saharan Africa;Western Africa
888;180;COD;Congo, República Democrática;Democratic Republic of the Congo;Africa;Sub-Saharan Africa;Middle Africa
177;178;COG;Congo;Congo;Africa;Sub-Saharan Africa;Middle Africa
183;184;COK;Cook, Ilhas;Cook Islands;Oceania;Polynesia;
169;170;COL;Colômbia;Colombia;America do Sul;Latin America and the Caribbean;South America
173;174;COM;Comores;Comoros;Africa;Sub-Saharan Africa;Eastern Africa
127;132;CPV;Cabo Verde;Cape Verde;Africa;Sub-Saharan Africa;Western Africa
196;188;CRI;Costa Rica;Costa Rica;America Central e Caribe;Latin America and the Caribbean;Central America
199;192;CUB;Cuba;Cuba;America Central e Caribe;Latin America and the Caribbean;Caribbean
200;531;CUW;Curaçao;Curaçao;America Central e Caribe;Latin America and the Caribbean;Caribbean
511;162;CXR;Christmas (Navidad), Ilha;Christmas Island;Oceania;Australia and New Zealand;
137;136;CYM;Cayman, Ilhas;Cayman Islands;America Central e Caribe;Latin America and the Caribbean;Caribbean
163;196;CYP;Chipre;Cyprus;Asia;Western Asia;
791;203;CZE;Tcheca, República;Czech Republic;Europa;Eastern Europe;
23;276;DEU;Alemanha;Germany;Europa;Western Europe;
783;262;DJI;Djibuti;Djibouti;Africa;Sub-Saharan Africa;Eastern Africa
235;212;DMA;Dominica;Dominica Island;America Central e Caribe;Latin America and the Caribbean;Caribbean
232;208;DNK;Dinamarca;Denmark;Europa;Northern Europe;
647;214;DOM;República Dominicana;Dominican Republic;America Central e Caribe;Latin America and the Caribbean;Caribbean
59;12;DZA;Argélia;Algeria;Africa;Northern Africa;
239;218;ECU;Equador;Ecuador;America do Sul;Latin America and the Caribbean;South America
240;818;EGY;Egito;Egypt;Africa;Northern Africa;
243;232;ERI;Eritreia;Eritrea;Africa;Sub-Saharan Africa;Eastern Africa
685;732;ESH;Saara Ocidental;Western Sahara;Africa;Northern Africa;
245;724;ESP;Espanha;Spain;Europa;Southern Europe;
251;233;EST;Estônia;Estonia;Europa;Northern Europe;
253;231;ETH;Etiópia;Ethiopia;Africa;Sub-Saharan Africa;Eastern Africa
271;246;FIN;Finlândia;Finland;Europa;Northern Europe;
870;242;FJI;Fiji;Fiji;Oceania;Melanesia;
255;238;FLK;Falkland (Malvinas);Falkland Islands (Malvinas);America do Sul;Latin America and the Caribbean;South America
275;250;FRA;França;France;Europa;Western Europe;
259;234;FRO;Faroe, Ilhas;Faroe Islands;Europa;Northern Europe;
499;583;FSM;Micronésia;Micronesia;Oceania;Micronesia;
281;266;GAB;Gabão;Gabon;Africa;Sub-Saharan Africa;Middle Africa
628;826;GBR;Reino Unido;United Kingdom;Europa;Northern Europe;
291;268;GEO;Geórgia;Georgia;Asia;Western Asia;
321;898;GGY;Guernsey;Guernsey;Europa;Northern Europe;Channel Islands
289;288;GHA;Gana;Ghana;Africa;Sub-Saharan Africa;Western Africa
293;292;GIB;Gibraltar;Gibraltar;Europa;Southern Europe;
329;324;GIN;Guiné;Guinea;Africa;Sub-Saharan Africa;Western Africa
309;312;GLP;Guadalupe;Guadeloupe;America Central e Caribe;Latin America and the Caribbean;Caribbean
285;270;GMB;Gâmbia;Gambia;Africa;Sub-Saharan Africa;Western Africa
334;624;GNB;Guiné-Bissau;Guinea-Bissau;Africa;Sub-Saharan Africa;Western Africa
331;226;GNQ;Guiné Equatorial;Equatorial Guinea;Africa;Sub-Saharan Africa;Middle Africa
301;300;GRC;Grécia;Greece;Europa;Southern Europe;
297;308;GRD;Granada;Grenada;America Central e Caribe;Latin America and the Caribbean;Caribbean
305;304;GRL;Groenlândia;Greenland;America do Norte;Northern America;
317;320;GTM;Guatemala;Guatemala;America Central e Caribe;Latin America and the Caribbean;Central America
325;254;GUF;Guiana Francesa;French Guyana;America do Sul;Latin America and the Caribbean;South America
313;316;GUM;Guam;Guam;Oceania;Micronesia;
337;328;GUY;Guiana;Guyana;America do Sul;Latin America and the Caribbean;South America
351;344;HKG;Hong Kong;Hong Kong;Asia;Eastern Asia;
343;334;HMD;Heard e ilhas mcdonald, Ilha;"
Heard Island and McDonald Islands";Oceania;Australia and New Zealand;
345;340;HND;Honduras;Honduras;America Central e Caribe;Latin America and the Caribbean;Central America
195;191;HRV;Croácia;Croatia;Europa;Southern Europe;
341;332;HTI;Haiti;Haiti;America Central e Caribe;Latin America and the Caribbean;Caribbean
355;348;HUN;Hungria;Hungary;Europa;Eastern Europe;
365;360;IDN;Indonésia;Indonesia;Asia;South-eastern Asia;
359;833;IMN;Ilha de Man;Isle of Man;Europa;Northern Europe;
361;356;IND;Índia;India;Asia;Southern Asia;
782;86;IOT;Território Britânico do Oceano Índico;British Indian Ocean Territory;Africa;Sub-Saharan Africa;Eastern Africa
375;372;IRL;Irlanda;Ireland;Europa;Northern Europe;
372;364;IRN;Irã;Iran;Asia;Southern Asia;
369;368;IRQ;Iraque;Iraq;Asia;Western Asia;
379;352;ISL;Islândia;Iceland;Europa;Northern Europe;
383;376;ISR;Israel;Israel;Asia;Western Asia;
386;380;ITA;Itália;Italy;Europa;Southern Europe;
391;388;JAM;Jamaica;Jamaica;America Central e Caribe;Latin America and the Caribbean;Caribbean
403;400;JOR;Jordânia;Jordan;Asia;Western Asia;
399;392;JPN;Japão;Japan;Asia;Eastern Asia;
153;398;KAZ;Cazaquistão;Kazakhstan;Asia;Central Asia;
623;404;KEN;Quênia;Kenya;Africa;Sub-Saharan Africa;Eastern Africa
625;417;KGZ;Quirguistão;Kyrgyzstan;Asia;Central Asia;
141;116;KHM;Camboja;Cambodia;Asia;South-eastern Asia;
411;296;KIR;Kiribati;Kiribati;Oceania;Micronesia;
695;659;KNA;São Cristóvão e Névis;Saint Christopher and Nevis;America Central e Caribe;Latin America and the Caribbean;Caribbean
190;410;KOR;Coreia do Sul;South Korea;Asia;Asia;Eastern Asia
198;414;KWT;Coveite (Kuweit);Kuwait;Asia;Western Asia;
420;418;LAO;Laos;Laos;Asia;South-eastern Asia;
431;422;LBN;Líbano;Lebanon;Asia;Western Asia;
434;430;LBR;Libéria;Liberia;Africa;Sub-Saharan Africa;Western Africa
438;434;LBY;Líbia;Libya;Africa;Northern Africa;
715;662;LCA;Santa Lúcia;Saint Lucia;America Central e Caribe;Latin America and the Caribbean;Caribbean
440;438;LIE;Liechtenstein;Liechtenstein;Europa;Western Europe;
750;144;LKA;Sri Lanka;Sri Lanka;Asia;Southern Asia;
426;426;LSO;Lesoto;Lesotho;Africa;Sub-Saharan Africa;Southern Africa
442;440;LTU;Lituânia;Lithuania;Europa;Northern Europe;
445;442;LUX;Luxemburgo;Luxembourg;Europa;Western Europe;
427;428;LVA;Letônia;Latvia;Europa;Northern Europe;
447;446;MAC;Macau;Macao;Asia;Eastern Asia;
474;504;MAR;Marrocos;Morocco;Africa;Northern Africa;
495;492;MCO;Mônaco;Monaco;Europa;Western Europe;
494;498;MDA;Moldávia;Moldova;Europa;Europe;Eastern Europe
450;450;MDG;Madagascar;Madagascar;Africa;Sub-Saharan Africa;Eastern Africa
461;462;MDV;Maldivas;Maldives;Asia;Southern Asia;
493;484;MEX;México;Mexico;America Central e Caribe;Latin America and the Caribbean;Central America
476;584;MHL;Marshall, Ilhas;Marshall Islands;Oceania;Micronesia;
449;807;MKD;Macedônia;Macedonia;Europa;Southern Europe;
464;466;MLI;Mali;Mali;Africa;Sub-Saharan Africa;Western Africa
467;470;MLT;Malta;Malta;Europa;Southern Europe;
93;104;MMR;Mianmar;Myanmar;Asia;South-eastern Asia;
498;499;MNE;Montenegro;Montenegro;Europa;Southern Europe;
497;496;MNG;Mongólia;Mongolia;Asia;Eastern Asia;
472;580;MNP;Marianas do Norte, Ilhas;Northern Marianas;Oceania;Micronesia;
505;508;MOZ;Moçambique;Mozambique;Africa;Sub-Saharan Africa;Eastern Africa
488;478;MRT;Mauritânia;Mauritania;Africa;Sub-Saharan Africa;Western Africa
501;500;MSR;Montserrat;Montserrat;America Central e Caribe;Latin America and the Caribbean;Caribbean
477;474;MTQ;Martinica;Martinique;America Central e Caribe;Latin America and the Caribbean;Caribbean
485;480;MUS;Maurício;Mauritius;Africa;Sub-Saharan Africa;Eastern Africa
458;454;MWI;Malavi;Malawi;Africa;Sub-Saharan Africa;Eastern Africa
455;458;MYS;Malásia;Malaysia;Asia;South-eastern Asia;
507;516;NAM;Namíbia;Namibia;Africa;Sub-Saharan Africa;Southern Africa
542;540;NCL;Nova Caledônia;New Caledonia;Oceania;Melanesia;
525;562;NER;Níger;Niger;Africa;Sub-Saharan Africa;Western Africa
535;574;NFK;Norfolk, Ilha;Norfolk Island;Oceania;Australia and New Zealand;
528;566;NGA;Nigéria;Nigeria;Africa;Sub-Saharan Africa;Western Africa
521;558;NIC;Nicarágua;Nicaragua;America Central e Caribe;Latin America and the Caribbean;Central America
531;570;NIU;Niue;Niue;Oceania;Polynesia;
573;528;NLD;Países Baixos (Holanda);Netherlands;Europa;Western Europe;
538;578;NOR;Noruega;Norway;Europa;Northern Europe;
517;524;NPL;Nepal;Nepal;Asia;Southern Asia;
508;520;NRU;Nauru;Nauru;Oceania;Micronesia;
548;554;NZL;Nova Zelândia;New Zealand;Oceania;Australia and New Zealand;
556;512;OMN;Omã;Oman;Asia;Western Asia;
576;586;PAK;Paquistão;Pakistan;Asia;Southern Asia;
580;591;PAN;Panamá;Panama;America Central e Caribe;Latin America and the Caribbean;Central America
593;612;PCN;Pitcairn;Pitcairn;Oceania;Polynesia;
589;604;PER;Peru;Peru;America do Sul;Latin America and the Caribbean;South America
267;608;PHL;Filipinas;Philippines;Asia;South-eastern Asia;
575;585;PLW;Palau;Palau;Oceania;Micronesia;
545;598;PNG;Papua Nova Guiné;Papua New Guinea;Oceania;Melanesia;
603;616;POL;Polônia;Poland;Europa;Eastern Europe;
611;630;PRI;Porto Rico;Puerto Rico;America Central e Caribe;Latin America and the Caribbean;Caribbean
187;408;PRK;Coreia do Norte;North Korea;Asia;Eastern Asia;
607;620;PRT;Portugal;Portugal;Europa;Southern Europe;
586;600;PRY;Paraguai;Paraguay;America do Sul;Latin America and the Caribbean;South America
599;258;PYF;Polinésia Francesa;French Polynesia;Oceania;Polynesia;
154;634;QAT;Catar;Qatar;Asia;Western Asia;
660;638;REU;Reunião;Reunion;Africa;Sub-Saharan Africa;Eastern Africa
670;642;ROU;Romênia;Romania;Europa;Eastern Europe;
676;643;RUS;Rússia;Russia;Europa;Eastern Europe;
675;646;RWA;Ruanda;Rwanda;Africa;Sub-Saharan Africa;Eastern Africa
53;682;SAU;Arábia Saudita;Saudi Arabia;Asia;Western Asia;
759;736;SDN;Sudão;Sudan;Africa;Northern Africa;
728;686;SEN;Senegal;Senegal;Africa;Sub-Saharan Africa;Western Africa
741;702;SGP;Singapura;Singapore;Asia;South-eastern Asia;
292;239;SGS;Geórgia do Sul e Sandwich do Sul, Ilhas;South Georgia and the South Sandwich Islands;America do Sul;Latin America and the Caribbean;South America
710;654;SHN;Santa Helena;Saint Helena;Africa;Africa;Sub-Saharan Africa
755;744;SJM;Svalbard e Jan Mayen;Svalbard and Jan Mayen;Europa;Northern Europe;
677;90;SLB;Salomão, Ilhas;Solomon Islands;Oceania;Melanesia;
735;694;SLE;Serra Leoa;Sierra Leone;Africa;Sub-Saharan Africa;Western Africa
687;222;SLV;El Salvador;El Salvador;America Central e Caribe;Latin America and the Caribbean;Central America
697;674;SMR;San Marino;San Marino;Europa;Southern Europe;
748;706;SOM;Somália;Somalia;Africa;Sub-Saharan Africa;Eastern Africa
700;666;SPM;São Pedro e Miquelon;Saint Pierre and Miquelon;America do Norte;Northern America;
737;688;SRB;Sérvia;Serbia;Europa;Southern Europe;
760;728;SSD;Sudão do Sul;South Sudan;Africa;Sub-Saharan Africa;Eastern Africa
720;678;STP;São Tomé e Príncipe;São Tome and Principe;Africa;Sub-Saharan Africa;Middle Africa
770;740;SUR;Suriname;Suriname;America do Sul;Latin America and the Caribbean;South America
247;703;SVK;Eslováquia;Slovakia;Europa;Eastern Europe;
246;705;SVN;Eslovênia;Slovenia;Europa;Southern Europe;
764;752;SWE;Suécia;Sweden;Europa;Northern Europe;
754;748;SWZ;Suazilândia;Swaziland;Africa;Sub-Saharan Africa;Southern Africa
699;534;SXM;Sint Maarten;Sint Maarten;America Central e Caribe;Latin America and the Caribbean;Caribbean
731;690;SYC;Seicheles;Seychelles;Africa;Sub-Saharan Africa;Eastern Africa
744;760;SYR;Síria;Syria;Asia;Western Asia;
823;796;TCA;Turcas e Caicos, Ilhas;Turks and Caicos, Islands;America Central e Caribe;Latin America and the Caribbean;Caribbean
788;148;TCD;Chade;Chad;Africa;Sub-Saharan Africa;Middle Africa
800;768;TGO;Togo;Togo;Africa;Sub-Saharan Africa;Western Africa
776;764;THA;Tailândia;Thailand;Asia;South-eastern Asia;
772;762;TJK;Tadjiquistão;Tajikistan;Asia;Central Asia;
805;772;TKL;Toquelau;Tokelau;Oceania;Polynesia;
824;795;TKM;Turcomenistão;Turkmenistan;Asia;Central Asia;
795;626;TLS;Timor Leste;East Timor;Asia;South-eastern Asia;
810;776;TON;Tonga;Tonga;Oceania;Polynesia;
815;780;TTO;Trinidad e Tobago;Trinidad and Tobago;America Central e Caribe;Latin America and the Caribbean;Caribbean
820;788;TUN;Tunísia;Tunisia;Africa;Northern Africa;
827;792;TUR;Turquia;Turkey;Asia;Western Asia;
828;798;TUV;Tuvalu;Tuvalu;Oceania;Polynesia;
161;158;TWN;Taiwan (Formosa);Taiwan;Asia;Asia;Eastern Asia
780;834;TZA;Tanzânia;Tanzania;Africa;Africa;Sub-Saharan Africa
833;800;UGA;Uganda;Uganda;Africa;Sub-Saharan Africa;Eastern Africa
831;804;UKR;Ucrânia;Ukraine;Europa;Eastern Europe;
566;581;UMI;Pacífico, Ilhas do (EUA);Pacific Islands (USA);Oceania;Micronesia;
845;858;URY;Uruguai;Uruguay;America do Sul;Latin America and the Caribbean;South America
249;840;USA;Estados Unidos;United States;America do Norte;Northern America;
847;860;UZB;Uzbequistão;Uzbekistan;Asia;Central Asia;
848;336;VAT;Vaticano;Vatican City;Europa;Southern Europe;
705;670;VCT;São Vicente e Granadinas;Saint Vicent and the Granadines;America Central e Caribe;Latin America and the Caribbean;Caribbean
850;862;VEN;Venezuela;Venezuela;America do Sul;Latin America and the Caribbean;South America
863;92;VGB;Virgens, Ilhas (Britânicas);Virgin Islands (UK);America Central e Caribe;Latin America and the Caribbean;Caribbean
866;850;VIR;Virgens, Ilhas (Americanas);Virgin Islands (USA);America Central e Caribe;Latin America and the Caribbean;Caribbean
858;704;VNM;Vietnã;Vietnam;Asia;South-eastern Asia;
551;548;VUT;Vanuatu;Vanuatu;Oceania;Melanesia;
875;876;WLF;Wallis e Futuna, Ilhas;Wallis and Futuna;Oceania;Polynesia;
690;882;WSM;Samoa;Samoa;Oceania;Polynesia;
357;887;YEM;Iêmen;Yemen;Asia;Western Asia;
756;710;ZAF;África do Sul;South Africa;Africa;Sub-Saharan Africa;Southern Africa
890;894;ZMB;Zâmbia;Zambia;Africa;Sub-Saharan Africa;Eastern Africa
665;716;ZWE;Zimbábue;Zimbabwe;Africa;Sub-Saharan Africa;Eastern Africa